SDATA,HMAX,HS,TZ,TP,THTP,TEMP
2019-11-12 19:00,0.9,0.6,3.4,4.2,252.0,15.8
2019-11-12 21:00,0.9,0.6,3.7,7.1,259.0,15.7
2019-11-12 23:00,0.7,0.5,4.7,11.8,255.0,15.4
2019-11-13 00:00,0.7,0.5,4.6,7.1,257.0,15.6
2019-11-13 01:00,0.8,0.5,4.6,11.8,246.0,15.6
2019-11-13 02:00,0.8,0.5,4.4,18.2,260.0,15.6
2019-11-13 03:00,0.8,0.5,4.7,18.2,246.0,15.4
2019-11-13 04:00,1.1,0.6,5.0,18.2,245.0,15.4
2019-11-13 05:00,1.1,0.6,3.9,18.2,242.0,15.4
2019-11-13 06:00,0.9,0.6,3.9,18.2,245.0,15.4
2019-11-13 07:00,0.8,0.5,3.4,16.7,252.0,15.5
2019-11-13 08:00,1.1,0.7,4.3,15.4,239.0,15.6
2019-11-13 09:00,1.3,0.6,4.4,16.7,239.0,15.6
2019-11-13 17:00,1.0,0.6,3.8,18.2,228.0,15.7
2019-11-13 18:00,0.9,0.6,4.2,18.2,242.0,15.8
2019-11-13 19:00,0.9,0.5,4.3,16.7,232.0,15.8
2019-11-13 20:00,0.9,0.6,4.3,15.4,236.0,15.8
2019-11-13 21:00,0.9,0.6,4.2,16.7,235.0,15.8
2019-11-13 22:00,0.9,0.6,4.9,16.7,225.0,15.9
2019-11-13 23:00,0.9,0.6,5.2,16.7,225.0,15.9
2019-11-14 00:00,1.1,0.7,4.8,16.7,225.0,15.9
2019-11-14 01:00,1.0,0.7,4.9,16.7,235.0,15.9
2019-11-14 02:00,1.0,0.6,4.8,15.4,243.0,15.9
2019-11-14 03:00,0.8,0.5,4.4,15.4,248.0,15.9
2019-11-14 04:00,0.8,0.6,6.2,15.4,248.0,15.9
2019-11-14 05:00,0.9,0.5,4.8,15.4,235.0,16.3
2019-11-14 06:00,0.9,0.6,4.0,15.4,252.0,16.5
2019-11-14 07:00,0.9,0.6,3.9,14.3,240.0,16.6
2019-11-14 08:00,1.1,0.6,3.9,15.4,233.0,16.6
2019-11-14 09:00,1.3,0.8,3.6,14.3,242.0,16.6
2019-11-14 11:00,1.4,0.9,4.0,10.5,259.0,16.6
2019-11-14 12:00,1.5,1.0,4.0,4.3,255.0,16.6
2019-11-14 13:00,1.4,0.9,3.9,4.5,255.0,16.4
2019-11-14 14:00,1.7,1.0,3.9,4.5,260.0,16.3
2019-11-14 15:00,2.0,1.1,4.0,5.0,256.0,16.1
2019-11-14 16:00,1.5,1.0,4.2,8.3,263.0,16.0
2019-11-14 17:00,1.6,1.1,4.2,4.5,277.0,15.9
2019-11-14 18:00,1.5,1.0,4.4,5.0,271.0,16.0
2019-11-14 19:00,1.5,0.9,4.6,9.1,266.0,15.9
2019-11-14 20:00,1.5,1.0,4.6,10.5,259.0,15.9
2019-11-14 21:00,1.3,1.0,4.5,9.1,263.0,15.9
2019-11-14 22:00,1.6,1.0,4.4,8.3,266.0,15.8
2019-11-14 23:00,1.4,1.0,4.4,8.3,262.0,15.9
2019-11-15 00:00,1.4,1.0,4.5,10.0,259.0,15.9
2019-11-15 01:00,1.7,1.2,4.6,10.5,260.0,15.8
2019-11-15 02:00,1.6,1.0,4.5,10.0,266.0,15.7
2019-11-15 03:00,1.6,1.0,4.5,10.5,267.0,15.6
2019-11-15 04:00,1.9,1.0,4.6,9.1,263.0,15.7
2019-11-15 05:00,1.9,1.0,4.6,18.2,243.0,15.6
2019-11-15 06:00,1.6,1.0,4.5,10.0,263.0,15.6
2019-11-15 07:00,1.4,0.9,4.6,15.4,248.0,15.6
2019-11-15 08:00,1.5,0.9,4.8,15.4,239.0,15.6
2019-11-15 09:00,1.5,1.0,4.6,16.7,233.0,15.6
2019-11-15 10:00,2.2,1.1,5.2,16.7,235.0,15.4
2019-11-15 11:00,1.6,1.1,4.7,15.4,243.0,15.5
2019-11-15 12:00,1.7,1.0,4.6,16.7,239.0,15.5
2019-11-15 13:00,1.6,1.0,4.4,7.7,262.0,15.5
2019-11-15 14:00,1.9,1.2,4.9,9.1,259.0,15.5
