SDATA,HMAX,HS,TZ,TP,THTP,TEMP
2019-11-12 19:00,2.7,1.8,4.9,5.4,295.0,20.2
2019-11-12 20:00,2.4,1.9,4.9,19.2,301.0,19.8
2019-11-12 21:00,2.5,1.9,5.4,19.7,282.0,19.5
2019-11-12 22:00,2.0,1.6,4.9,19.0,303.0,19.3
2019-11-12 23:00,1.5,1.3,4.9,19.0,299.0,19.3
2019-11-13 00:00,2.0,1.3,5.6,18.5,313.0,19.4
2019-11-13 01:00,1.5,1.2,5.2,19.0,300.0,19.5
2019-11-13 02:00,1.7,1.4,5.2,18.5,298.0,19.6
2019-11-13 03:00,2.4,1.5,5.4,18.5,325.0,19.8
2019-11-13 04:00,2.1,1.4,5.4,18.3,285.0,19.9
2019-11-13 05:00,2.7,1.7,6.3,17.6,307.0,20.0
2019-11-13 06:00,2.4,1.7,6.3,17.6,304.0,20.0
2019-11-13 07:00,1.9,1.4,5.6,17.1,285.0,19.9
2019-11-13 08:00,2.4,1.6,5.6,17.6,301.0,19.8
2019-11-13 09:00,2.0,1.5,5.2,17.1,311.0,19.8
2019-11-13 10:00,2.5,1.9,6.1,16.2,305.0,19.9
2019-11-13 11:00,2.6,1.8,6.1,16.9,309.0,19.9
2019-11-13 12:00,2.4,1.8,5.9,15.2,295.0,19.9
2019-11-13 13:00,3.0,2.1,6.3,13.8,299.0,19.5
2019-11-13 14:00,2.1,1.7,5.9,14.5,300.0,19.4
2019-11-13 15:00,2.1,1.6,5.9,17.3,299.0,19.5
2019-11-13 16:00,2.6,1.6,5.9,16.9,293.0,19.6
2019-11-13 17:00,2.4,1.7,6.1,17.6,324.0,19.8
2019-11-13 18:00,2.2,1.6,5.9,17.3,322.0,19.9
2019-11-13 19:00,2.9,1.7,6.1,17.1,322.0,19.8
2019-11-13 20:00,2.2,1.7,6.3,15.9,285.0,19.9
2019-11-13 21:00,2.8,1.9,6.8,17.1,297.0,19.9
2019-11-13 22:00,2.6,1.8,6.3,16.2,289.0,19.9
2019-11-13 23:00,3.1,1.8,6.3,14.5,298.0,19.9
2019-11-14 00:00,3.1,1.9,6.1,9.8,307.0,19.8
2019-11-14 01:00,2.3,1.8,5.9,15.5,303.0,19.8
2019-11-14 02:00,2.3,1.7,5.9,15.2,294.0,19.7
2019-11-14 03:00,2.3,1.8,6.6,15.9,311.0,19.7
2019-11-14 04:00,3.1,1.9,7.3,12.0,298.0,19.6
2019-11-14 05:00,2.9,1.9,7.5,12.9,296.0,19.7
2019-11-14 06:00,2.7,2.0,7.5,13.4,297.0,19.7
2019-11-14 07:00,2.9,2.1,7.5,15.2,296.0,19.7
2019-11-14 08:00,3.5,2.1,7.0,14.5,298.0,19.7
2019-11-14 09:00,2.8,2.0,6.3,12.9,300.0,19.7
2019-11-14 10:00,3.5,2.3,6.1,14.3,290.0,19.8
2019-11-14 11:00,3.6,2.3,6.1,13.4,305.0,19.8
2019-11-14 12:00,3.6,2.4,5.9,14.8,309.0,19.7
2019-11-14 13:00,3.5,2.4,5.9,15.0,311.0,19.4
2019-11-14 14:00,3.2,2.3,5.9,11.0,307.0,19.1
2019-11-14 15:00,3.2,2.4,5.9,11.7,306.0,18.9
2019-11-14 16:00,3.7,2.5,6.1,14.5,307.0,18.4
2019-11-14 17:00,3.8,2.7,6.1,8.7,288.0,18.2
2019-11-14 18:00,4.1,2.8,6.6,9.8,288.0,18.0
2019-11-14 19:00,3.8,2.7,6.3,11.3,296.0,18.4
2019-11-14 20:00,3.2,2.5,6.6,10.3,299.0,18.4
2019-11-14 21:00,3.5,2.5,6.8,11.7,290.0,18.3
2019-11-14 22:00,3.2,2.5,6.6,12.4,293.0,18.4
2019-11-14 23:00,3.8,2.6,6.8,14.1,302.0,18.4
2019-11-15 00:00,4.7,3.0,7.3,13.8,305.0,18.4
2019-11-15 01:00,4.2,3.0,7.3,12.0,297.0,18.5
2019-11-15 02:00,5.2,2.9,7.0,14.1,308.0,18.6
2019-11-15 03:00,3.7,3.0,7.5,13.6,312.0,18.8
2019-11-15 04:00,4.4,3.1,7.5,14.3,302.0,18.8
2019-11-15 05:00,4.4,3.1,7.0,12.4,297.0,19.5
2019-11-15 06:00,4.1,2.9,7.3,12.4,303.0,19.5
2019-11-15 07:00,4.3,3.0,7.3,11.0,297.0,19.4
2019-11-15 08:00,4.2,3.1,6.8,9.8,297.0,19.3
2019-11-15 09:00,4.0,2.9,6.8,16.4,293.0,19.2
2019-11-15 10:00,4.1,2.8,6.6,10.8,297.0,18.9
2019-11-15 11:00,3.6,2.7,6.6,13.4,304.0,18.6
2019-11-15 12:00,3.8,2.8,7.0,15.9,300.0,18.3
2019-11-15 13:00,4.7,2.8,7.0,14.1,311.0,18.0
