SDATA,HMAX,HS,TZ,TP,THTP,TEMP
2019-11-12 19:00,6.2,3.9,8.9,18.2,315.0,15.1
2019-11-12 20:00,6.4,4.4,9.8,18.2,308.0,14.9
2019-11-12 21:00,6.7,4.8,10.2,16.7,312.0,14.9
2019-11-12 22:00,7.3,4.8,9.7,16.7,309.0,14.9
2019-11-12 23:00,7.1,4.8,9.4,15.4,314.0,15.0
2019-11-13 00:00,6.3,4.8,10.6,18.2,309.0,15.1
2019-11-13 01:00,5.5,4.3,9.5,18.2,318.0,15.1
2019-11-13 02:00,6.2,5.2,10.8,18.2,311.0,15.3
2019-11-13 03:00,6.1,4.4,10.1,18.2,311.0,15.3
2019-11-13 04:00,6.1,3.9,8.9,15.4,307.0,15.1
2019-11-13 05:00,5.8,4.1,9.7,16.7,309.0,14.8
2019-11-13 06:00,7.3,4.0,9.9,16.7,311.0,14.6
2019-11-13 07:00,7.2,4.5,9.4,18.2,304.0,14.6
2019-11-13 08:00,6.7,4.8,10.1,16.7,311.0,14.6
2019-11-13 09:00,6.5,4.4,9.0,16.7,307.0,14.5
2019-11-13 10:00,5.7,3.5,8.7,16.7,307.0,14.5
2019-11-13 11:00,6.4,4.4,10.5,18.2,307.0,14.6
2019-11-13 12:00,8.1,4.6,9.8,16.7,315.0,14.6
2019-11-13 13:00,6.0,4.0,9.8,16.7,309.0,14.6
2019-11-13 14:00,6.1,4.0,9.6,16.7,314.0,14.6
2019-11-13 15:00,5.5,4.1,10.6,15.4,307.0,14.6
2019-11-13 16:00,6.1,4.1,9.2,15.4,308.0,14.7
2019-11-13 17:00,6.6,4.4,10.3,16.7,307.0,14.7
2019-11-13 18:00,5.5,3.9,10.6,16.7,312.0,14.7
2019-11-13 19:00,5.3,3.7,9.7,16.7,314.0,14.7
2019-11-13 20:00,5.8,3.5,9.4,15.4,315.0,14.7
2019-11-13 21:00,4.8,3.4,8.8,11.1,318.0,14.7
2019-11-13 22:00,5.4,3.1,7.8,15.4,309.0,14.7
2019-11-13 23:00,5.9,3.9,8.6,14.3,314.0,14.7
2019-11-14 00:00,5.6,3.8,8.0,15.4,316.0,14.6
2019-11-14 01:00,6.2,3.8,7.6,14.3,312.0,14.7
2019-11-14 02:00,5.6,3.4,6.7,15.4,315.0,14.7
2019-11-14 03:00,5.5,4.2,8.3,15.4,315.0,14.6
2019-11-14 04:00,7.5,4.2,7.8,14.3,314.0,14.6
2019-11-14 05:00,7.6,4.8,9.1,10.5,308.0,14.6
2019-11-14 06:00,5.6,4.3,8.0,11.1,308.0,14.6
2019-11-14 07:00,8.8,4.5,7.9,12.5,321.0,14.4
2019-11-14 08:00,9.4,6.0,8.8,10.5,315.0,14.3
2019-11-14 09:00,9.2,5.8,9.2,11.8,309.0,14.2
2019-11-14 10:00,8.1,6.2,9.5,11.8,308.0,14.1
2019-11-14 11:00,11.3,6.8,10.2,14.3,318.0,13.9
2019-11-14 12:00,8.3,5.9,9.4,15.4,325.0,13.9
2019-11-14 13:00,9.3,7.0,9.6,14.3,328.0,13.9
2019-11-14 14:00,12.0,7.7,9.3,14.3,316.0,14.0
2019-11-14 15:00,11.2,6.7,8.7,14.3,318.0,13.9
2019-11-14 16:00,11.0,8.5,10.0,15.4,314.0,14.1
2019-11-14 17:00,12.6,8.0,9.4,16.7,321.0,14.2
2019-11-14 18:00,10.1,7.2,10.6,16.7,326.0,13.9
2019-11-14 19:00,12.5,8.0,11.2,14.3,321.0,13.7
2019-11-14 20:00,13.2,8.5,10.6,15.4,319.0,13.6
2019-11-14 21:00,10.2,7.8,11.8,15.4,329.0,13.7
2019-11-14 22:00,11.6,8.0,11.1,18.2,321.0,13.7
2019-11-14 23:00,9.6,7.3,13.0,16.7,309.0,13.7
2019-11-15 00:00,9.3,5.8,10.6,18.2,312.0,13.8
2019-11-15 01:00,8.6,6.2,11.3,16.7,312.0,13.9
2019-11-15 02:00,11.4,5.8,10.5,16.7,319.0,13.9
2019-11-15 03:00,9.5,6.2,9.8,16.7,315.0,13.8
2019-11-15 04:00,10.5,6.4,10.4,15.4,315.0,13.7
2019-11-15 05:00,9.1,6.1,9.8,15.4,315.0,13.8
2019-11-15 06:00,7.5,5.5,8.7,16.7,314.0,13.7
2019-11-15 07:00,7.2,5.3,10.3,15.4,312.0,13.7
2019-11-15 08:00,11.0,5.5,9.6,13.3,316.0,13.7
2019-11-15 09:00,7.8,4.9,8.3,11.1,318.0,13.6
2019-11-15 10:00,7.0,5.0,9.7,13.3,322.0,13.4
2019-11-15 11:00,6.4,4.8,9.5,12.5,326.0,13.5
2019-11-15 12:00,7.1,5.1,9.3,14.3,321.0,13.4
2019-11-15 13:00,8.0,4.8,8.7,13.3,322.0,13.4
2019-11-15 14:00,7.0,4.4,8.1,15.4,329.0,13.4
