SDATA,HMAX,HS,TZ,TP,THTP,TEMP
2019-11-12 19:00,7.2,5.3,9.8,17.3,315.0,16.9
2019-11-12 20:00,6.1,4.8,9.1,17.1,316.0,16.9
2019-11-12 21:00,7.0,5.2,9.6,17.6,321.0,16.9
2019-11-12 22:00,6.9,5.1,8.7,17.3,315.0,17.0
2019-11-12 23:00,6.4,5.0,8.7,17.6,328.0,16.9
2019-11-13 00:00,7.0,4.9,8.4,14.5,319.0,16.8
2019-11-13 01:00,5.9,4.6,8.2,8.9,317.0,16.7
2019-11-13 02:00,7.7,5.2,8.9,16.9,314.0,17.0
2019-11-13 03:00,6.1,5.1,8.9,16.4,322.0,17.1
2019-11-13 04:00,9.0,5.1,9.1,17.6,328.0,17.0
2019-11-13 05:00,8.0,5.4,9.6,17.1,323.0,17.0
2019-11-13 06:00,7.1,4.7,9.1,18.3,336.0,17.0
2019-11-13 07:00,6.8,5.0,9.4,16.9,321.0,16.9
2019-11-13 08:00,8.2,5.0,9.4,16.2,321.0,16.9
2019-11-13 09:00,5.8,4.5,8.4,16.4,330.0,16.9
2019-11-13 10:00,6.7,4.7,8.9,17.1,325.0,16.9
2019-11-13 11:00,6.1,4.1,8.0,15.2,329.0,17.0
2019-11-13 12:00,7.7,4.4,8.4,16.2,337.0,16.9
2019-11-13 13:00,6.4,4.2,8.4,14.8,326.0,17.0
2019-11-13 14:00,5.8,4.2,8.7,16.9,326.0,17.0
2019-11-13 15:00,6.5,4.3,9.4,15.9,330.0,17.0
2019-11-13 16:00,7.6,4.2,9.4,17.1,327.0,17.0
2019-11-13 17:00,6.1,4.3,9.6,17.6,334.0,17.0
2019-11-13 18:00,5.9,4.1,8.9,15.7,326.0,17.0
2019-11-13 19:00,5.4,4.2,8.7,16.4,332.0,17.0
2019-11-13 20:00,5.8,4.3,9.1,16.2,320.0,17.0
2019-11-13 21:00,5.7,4.4,8.9,13.6,326.0,17.1
2019-11-13 22:00,5.9,4.2,8.4,15.7,328.0,17.2
2019-11-13 23:00,6.2,4.5,8.2,16.2,330.0,17.2
2019-11-14 00:00,6.8,4.0,8.0,15.7,319.0,17.3
2019-11-14 01:00,5.7,4.3,7.7,15.2,322.0,17.3
2019-11-14 02:00,7.0,4.8,7.7,14.5,309.0,17.4
2019-11-14 03:00,6.4,4.7,7.7,9.4,315.0,17.4
2019-11-14 04:00,7.1,4.6,7.5,9.8,319.0,17.3
2019-11-14 05:00,7.1,4.9,7.7,9.6,302.0,17.2
2019-11-14 06:00,6.6,4.7,7.7,14.5,333.0,17.2
2019-11-14 07:00,7.2,5.7,8.2,12.0,331.0,17.2
2019-11-14 08:00,9.1,5.8,8.2,12.4,326.0,17.2
2019-11-14 09:00,7.6,6.1,8.7,11.3,323.0,17.2
2019-11-14 10:00,10.3,6.9,8.9,12.7,327.0,17.2
2019-11-14 11:00,12.0,8.1,10.1,14.5,333.0,17.2
2019-11-14 12:00,10.4,7.9,9.4,14.1,337.0,17.1
2019-11-14 13:00,11.1,8.1,10.1,15.2,325.0,17.1
2019-11-14 14:00,14.0,9.7,10.5,15.2,334.0,17.1
2019-11-14 15:00,13.6,8.9,10.3,15.7,334.0,17.1
2019-11-14 16:00,13.5,9.0,10.5,14.8,323.0,16.9
2019-11-14 17:00,13.1,9.0,11.0,16.4,338.0,16.9
2019-11-14 18:00,15.5,10.0,10.8,14.8,338.0,16.7
2019-11-14 19:00,12.5,8.6,10.5,16.4,333.0,16.5
2019-11-14 20:00,17.1,9.6,11.3,17.1,334.0,16.3
2019-11-14 21:00,13.2,9.3,10.8,17.1,336.0,16.3
2019-11-14 22:00,13.9,9.3,11.0,16.4,345.0,16.3
2019-11-14 23:00,12.7,8.4,10.3,17.6,330.0,16.3
2019-11-15 00:00,10.9,7.6,9.6,12.0,338.0,16.2
2019-11-15 01:00,10.8,7.7,10.5,16.9,334.0,16.2
2019-11-15 02:00,10.0,7.0,9.6,17.1,330.0,16.3
2019-11-15 03:00,12.8,7.6,10.1,14.3,331.0,16.4
2019-11-15 04:00,10.4,7.2,9.8,13.1,338.0,16.4
2019-11-15 05:00,9.5,6.6,9.4,13.4,342.0,16.4
2019-11-15 06:00,8.5,6.8,9.4,15.2,331.0,16.4
2019-11-15 07:00,9.9,7.3,9.8,15.2,332.0,16.2
2019-11-15 08:00,11.8,6.2,8.4,12.7,345.0,16.2
2019-11-15 09:00,8.3,5.8,8.4,12.4,335.0,16.5
2019-11-15 10:00,8.0,5.7,8.7,13.1,340.0,16.6
2019-11-15 11:00,8.2,5.9,8.9,14.8,328.0,16.7
2019-11-15 12:00,10.1,5.9,9.4,14.1,330.0,16.4
2019-11-15 13:00,9.4,5.9,9.1,12.2,335.0,16.4
