SDATA,HMAX,HS,TZ,TP,THTP,TEMP
2019-11-12 19:00,6.1,4.4,10.3,18.0,311.0,16.6
2019-11-12 20:00,6.3,4.2,10.5,19.0,316.0,16.6
2019-11-12 21:00,6.1,4.0,10.1,18.5,315.0,16.6
2019-11-12 22:00,7.4,5.3,12.0,18.0,309.0,16.6
2019-11-12 23:00,8.0,5.4,11.3,18.3,323.0,16.6
2019-11-13 00:00,5.4,3.7,8.9,16.9,321.0,16.6
2019-11-13 01:00,5.9,4.4,9.1,17.6,312.0,16.6
2019-11-13 02:00,6.4,4.2,8.9,15.7,309.0,16.6
2019-11-13 03:00,6.0,4.6,8.9,12.4,323.0,16.6
2019-11-13 04:00,6.7,4.7,8.7,17.1,308.0,16.5
2019-11-13 05:00,6.4,4.5,8.4,17.6,323.0,16.5
2019-11-13 06:00,6.6,5.3,9.6,18.3,309.0,16.5
2019-11-13 07:00,5.4,4.3,8.7,18.0,312.0,16.4
2019-11-13 08:00,6.3,4.7,9.1,18.5,319.0,16.4
2019-11-13 09:00,6.3,4.6,8.9,17.6,313.0,16.4
2019-11-13 10:00,6.2,4.7,9.1,17.3,304.0,16.4
2019-11-13 11:00,8.3,4.8,9.4,14.8,316.0,16.4
2019-11-13 12:00,6.5,4.5,9.1,16.4,325.0,16.4
2019-11-13 13:00,6.5,4.5,9.1,17.3,322.0,16.5
2019-11-13 14:00,6.9,4.6,9.4,16.9,316.0,16.5
2019-11-13 15:00,6.1,4.7,9.6,16.2,317.0,16.5
2019-11-13 16:00,5.7,4.4,9.8,16.4,321.0,16.4
2019-11-13 17:00,6.7,4.5,9.6,15.9,321.0,16.3
2019-11-13 18:00,7.6,4.4,9.6,15.9,323.0,16.2
2019-11-13 19:00,6.8,4.6,9.4,15.7,311.0,16.0
2019-11-13 20:00,7.3,4.7,9.4,14.1,319.0,16.0
2019-11-13 21:00,6.5,4.8,9.4,15.9,311.0,16.0
2019-11-13 22:00,6.6,4.7,9.1,16.9,323.0,16.0
2019-11-13 23:00,7.2,4.4,8.9,15.7,314.0,16.0
2019-11-14 00:00,6.1,4.2,8.7,14.5,307.0,16.0
2019-11-14 01:00,5.6,4.1,8.4,11.7,319.0,16.0
2019-11-14 02:00,5.2,4.0,8.2,12.9,316.0,16.2
2019-11-14 03:00,6.8,4.5,8.7,15.5,314.0,16.3
2019-11-14 04:00,6.2,4.3,7.7,12.9,319.0,16.3
2019-11-14 05:00,6.2,4.3,7.7,15.2,312.0,16.3
2019-11-14 06:00,5.6,4.5,7.5,15.2,316.0,16.3
2019-11-14 07:00,6.6,5.3,8.0,14.8,320.0,16.3
2019-11-14 08:00,8.3,5.9,8.4,14.1,321.0,16.2
2019-11-14 09:00,7.1,5.4,8.0,10.1,319.0,16.2
2019-11-14 10:00,9.3,6.0,8.4,10.3,311.0,16.2
2019-11-14 11:00,8.6,6.1,8.7,11.5,328.0,16.2
2019-11-14 12:00,11.1,6.4,8.7,11.7,317.0,16.1
2019-11-14 13:00,10.7,6.7,8.9,12.7,318.0,16.1
2019-11-14 14:00,10.3,6.9,9.4,12.9,323.0,16.0
2019-11-14 15:00,10.1,6.6,9.1,12.2,323.0,16.0
2019-11-14 16:00,9.4,7.6,9.6,14.1,319.0,15.9
2019-11-14 17:00,12.2,7.6,9.6,14.5,320.0,15.8
2019-11-14 18:00,11.0,8.0,10.1,15.2,326.0,15.8
2019-11-14 19:00,10.8,8.0,9.8,15.0,334.0,15.8
2019-11-14 20:00,10.8,8.8,11.0,15.7,326.0,15.8
2019-11-14 21:00,12.4,9.1,11.0,17.6,338.0,15.7
2019-11-14 22:00,11.4,8.2,10.5,16.2,328.0,15.7
2019-11-14 23:00,12.2,9.0,11.5,17.1,326.0,15.7
2019-11-15 00:00,11.9,8.5,10.5,14.8,327.0,15.7
2019-11-15 01:00,11.9,8.2,11.0,17.3,319.0,15.7
2019-11-15 02:00,11.3,7.9,10.3,16.4,321.0,15.7
2019-11-15 03:00,12.5,8.8,11.0,16.2,317.0,15.7
2019-11-15 04:00,12.6,8.2,11.0,16.4,314.0,15.7
2019-11-15 05:00,9.6,7.0,9.8,15.7,316.0,15.7
2019-11-15 06:00,10.6,7.1,10.1,15.9,314.0,15.7
2019-11-15 07:00,8.6,6.6,9.4,12.4,326.0,15.7
2019-11-15 08:00,10.7,6.9,9.6,13.6,321.0,15.6
2019-11-15 09:00,8.9,7.2,9.8,13.4,323.0,15.5
2019-11-15 10:00,8.1,6.3,9.4,12.9,328.0,15.4
2019-11-15 11:00,7.7,5.5,8.4,15.2,320.0,15.5
2019-11-15 12:00,10.6,6.5,9.4,15.2,326.0,15.5
2019-11-15 13:00,7.3,5.1,8.9,14.5,326.0,15.6
