SDATA,HMAX,HS,TZ,TP,THTP,TEMP
2019-11-12 19:00,4.0,2.0,7.9,20.0,309.0,15.8
2019-11-12 20:00,2.9,2.4,10.0,18.2,305.0,15.8
2019-11-12 21:00,3.0,2.3,10.3,18.2,304.0,15.8
2019-11-12 22:00,3.4,2.4,10.2,20.0,309.0,15.9
2019-11-12 23:00,3.1,2.3,10.1,20.0,308.0,15.9
2019-11-13 00:00,4.1,2.8,9.9,18.2,309.0,15.9
2019-11-13 01:00,3.8,2.5,9.5,16.7,314.0,15.8
2019-11-13 02:00,4.1,2.7,9.2,16.7,309.0,15.8
2019-11-13 03:00,3.2,2.5,9.4,18.2,314.0,15.6
2019-11-13 04:00,4.2,3.0,10.4,18.2,308.0,15.4
2019-11-13 05:00,4.0,2.7,8.8,15.4,315.0,15.3
2019-11-13 06:00,5.3,3.1,8.9,14.3,312.0,15.2
2019-11-13 07:00,3.5,2.5,7.9,14.3,311.0,15.1
2019-11-13 08:00,4.2,2.8,8.1,15.4,308.0,15.1
2019-11-13 09:00,4.7,3.2,8.3,15.4,314.0,15.1
2019-11-13 10:00,4.8,3.0,8.5,14.3,312.0,15.2
2019-11-13 11:00,4.5,2.9,7.8,15.4,308.0,15.1
2019-11-13 12:00,5.5,3.2,8.9,13.3,309.0,15.3
2019-11-13 13:00,4.4,3.0,9.2,15.4,307.0,15.3
2019-11-13 14:00,5.2,3.5,10.0,11.8,309.0,15.4
2019-11-13 15:00,4.9,2.9,9.3,16.7,314.0,16.0
2019-11-13 16:00,4.6,3.2,8.9,11.8,316.0,15.7
2019-11-13 17:00,4.0,2.8,9.2,16.7,309.0,15.4
2019-11-13 18:00,3.7,2.5,8.2,16.7,312.0,15.2
2019-11-13 19:00,4.4,2.8,7.8,15.4,305.0,15.2
2019-11-13 20:00,4.3,2.9,8.8,16.7,309.0,15.2
2019-11-13 21:00,3.5,2.6,8.4,16.7,312.0,15.4
2019-11-13 22:00,5.1,3.1,10.1,15.4,311.0,15.4
2019-11-13 23:00,4.5,3.0,10.1,12.5,309.0,15.6
2019-11-14 00:00,3.5,2.5,8.7,14.3,311.0,15.7
2019-11-14 01:00,3.8,2.9,10.0,13.3,311.0,15.7
2019-11-14 02:00,4.7,3.1,9.0,13.3,311.0,15.6
2019-11-14 03:00,5.6,2.6,7.2,15.4,315.0,15.5
2019-11-14 04:00,4.0,3.2,8.9,15.4,314.0,15.5
2019-11-14 05:00,3.2,2.3,8.0,12.5,311.0,15.4
2019-11-14 06:00,4.0,2.6,7.7,14.3,309.0,15.4
2019-11-14 07:00,4.4,2.7,6.9,14.3,314.0,15.4
2019-11-14 08:00,4.1,2.8,6.9,13.3,315.0,15.4
2019-11-14 09:00,4.2,3.0,6.9,13.3,315.0,15.4
2019-11-14 10:00,4.8,2.8,6.7,15.4,312.0,15.6
2019-11-14 11:00,4.4,3.4,7.1,14.3,308.0,15.6
2019-11-14 12:00,5.9,3.2,6.8,10.5,311.0,15.5
2019-11-14 13:00,4.4,3.3,7.4,10.5,308.0,15.6
2019-11-14 14:00,5.5,3.8,7.7,10.5,308.0,15.4
2019-11-14 15:00,5.5,3.6,8.0,10.5,311.0,15.3
2019-11-14 16:00,4.8,3.9,8.0,11.8,314.0,15.3
2019-11-14 17:00,6.2,4.0,8.6,12.5,311.0,15.1
2019-11-14 18:00,6.1,4.5,8.7,13.3,318.0,15.1
2019-11-14 19:00,6.3,4.0,7.9,12.5,312.0,15.1
2019-11-14 20:00,6.0,3.9,8.1,14.3,314.0,15.0
2019-11-14 21:00,5.4,4.0,8.5,13.3,316.0,15.0
2019-11-14 22:00,6.2,4.1,9.1,13.3,311.0,15.1
2019-11-14 23:00,6.2,3.9,8.5,15.4,316.0,15.1
2019-11-15 00:00,6.9,4.2,10.1,14.3,315.0,15.1
2019-11-15 01:00,5.9,4.0,9.3,16.7,315.0,15.2
2019-11-15 02:00,9.1,4.8,9.9,15.4,316.0,15.2
2019-11-15 03:00,5.2,3.8,8.5,15.4,314.0,15.3
2019-11-15 04:00,7.9,3.9,8.9,15.4,316.0,15.2
2019-11-15 05:00,6.4,4.5,9.8,16.7,319.0,15.2
2019-11-15 06:00,6.5,3.8,9.6,14.3,316.0,15.2
2019-11-15 07:00,7.0,3.7,8.8,13.3,311.0,15.1
2019-11-15 08:00,5.4,3.6,10.1,16.7,315.0,15.1
2019-11-15 09:00,6.2,4.0,8.6,16.7,314.0,15.1
2019-11-15 10:00,4.2,3.2,8.7,14.3,316.0,15.1
2019-11-15 11:00,5.0,3.0,8.1,15.4,315.0,15.1
2019-11-15 12:00,5.7,3.1,7.7,15.4,314.0,15.2
2019-11-15 13:00,4.2,3.0,8.2,15.4,316.0,15.1
2019-11-15 14:00,4.2,3.3,8.3,14.3,319.0,15.2
